,stc,snr,jitter,method,accuracy,fold
472,sine,-7,0.3,WCBLE-median,0.95,2
473,sine,-7,0.3,WCBLE-median,0.9,3
474,sine,-7,0.3,WCBLE-median,0.9,4
475,sine,-7,0.3,WCBLE-median,0.75,5
476,sine,-7,0.3,WCBLE-median,0.85,6
477,sine,-7,0.3,WCBLE-median,0.85,7
478,sine,-7,0.3,WCBLE-median,0.65,8
479,sine,-7,0.3,WCBLE-median,0.75,9
480,sine,-8,0.1,CBLE-median,0.9,0
481,sine,-8,0.1,CBLE-median,0.95,1
482,sine,-8,0.1,CBLE-median,0.95,2
483,sine,-8,0.1,CBLE-median,0.95,3
484,sine,-8,0.1,CBLE-median,0.95,4
485,sine,-8,0.1,CBLE-median,0.95,5
486,sine,-8,0.1,CBLE-median,0.95,6
487,sine,-8,0.1,CBLE-median,1.0,7
488,sine,-8,0.1,CBLE-median,0.95,8
489,sine,-8,0.1,CBLE-median,0.95,9
490,sine,-8,0.1,WCBLE-median,0.95,0
491,sine,-8,0.1,WCBLE-median,1.0,1
492,sine,-8,0.1,WCBLE-median,1.0,2
493,sine,-8,0.1,WCBLE-median,1.0,3
494,sine,-8,0.1,WCBLE-median,1.0,4
495,sine,-8,0.1,WCBLE-median,1.0,5
496,sine,-8,0.1,WCBLE-median,1.0,6
497,sine,-8,0.1,WCBLE-median,1.0,7
498,sine,-8,0.1,WCBLE-median,1.0,8
499,sine,-8,0.1,WCBLE-median,0.95,9
500,sine,-8,0.2,CBLE-median,0.85,0
501,sine,-8,0.2,CBLE-median,0.7,1
502,sine,-8,0.2,CBLE-median,0.8,2
503,sine,-8,0.2,CBLE-median,0.95,3
504,sine,-8,0.2,CBLE-median,0.8,4
505,sine,-8,0.2,CBLE-median,0.85,5
506,sine,-8,0.2,CBLE-median,0.8,6
507,sine,-8,0.2,CBLE-median,0.8,7
508,sine,-8,0.2,CBLE-median,0.9,8
509,sine,-8,0.2,CBLE-median,0.7,9
510,sine,-8,0.2,WCBLE-median,0.85,0
511,sine,-8,0.2,WCBLE-median,0.95,1
512,sine,-8,0.2,WCBLE-median,0.9,2
513,sine,-8,0.2,WCBLE-median,0.9,3
514,sine,-8,0.2,WCBLE-median,0.95,4
515,sine,-8,0.2,WCBLE-median,0.8,5
516,sine,-8,0.2,WCBLE-median,1.0,6
517,sine,-8,0.2,WCBLE-median,1.0,7
518,sine,-8,0.2,WCBLE-median,0.85,8
519,sine,-8,0.2,WCBLE-median,0.9,9
520,sine,-8,0.3,CBLE-median,0.55,0
521,sine,-8,0.3,CBLE-median,0.5,1
522,sine,-8,0.3,CBLE-median,0.75,2
523,sine,-8,0.3,CBLE-median,0.55,3
524,sine,-8,0.3,CBLE-median,0.55,4
525,sine,-8,0.3,CBLE-median,0.85,5
526,sine,-8,0.3,CBLE-median,0.5,6
527,sine,-8,0.3,CBLE-median,0.7,7
528,sine,-8,0.3,CBLE-median,0.75,8
529,sine,-8,0.3,CBLE-median,0.6,9
530,sine,-8,0.3,WCBLE-median,0.6,0
531,sine,-8,0.3,WCBLE-median,0.85,1
532,sine,-8,0.3,WCBLE-median,0.95,2
533,sine,-8,0.3,WCBLE-median,0.9,3
